part_id,part_abs_freq,type
part_8589999401,1,Consumable
part_8590053642,2,Consumable
part_8590129852,1,Part
part_8590058423,1,Part
part_8590238833,4,Part
part_8590056317,3,Consumable
part_8590000952,1,Consumable
part_8590277789,1,Consumable
part_8589986854,3,Part
part_8589971088,9,Consumable
part_8590048556,1,Part
part_8589963917,1,Part
part_8589935062,4,Consumable
part_8589943785,67,Part
part_8590102905,3,Part
part_8590264811,1,Consumable
part_8590057337,1,Part
part_8590157871,1,Part
part_8589941793,1,Consumable
part_8589976018,17,Consumable
part_8590031254,5,Consumable
part_8590029877,2,Consumable
part_8590069050,2,Part
part_8590034833,61,Consumable
part_8589941347,24,Consumable
part_8590002093,16,Consumable
part_8589984881,8,Consumable
part_8590121218,1,Consumable
part_8589989165,17,Consumable
part_8589938777,183,Non-aircraft material
part_8589935925,4,Consumable
part_8589936550,14,Non-aircraft material
part_8589984836,9,Consumable
part_8590062637,3,Consumable
part_8590015673,1,Consumable
part_8589934949,1,Consumable
part_8589986553,2,Consumable
part_8589941659,28,Part
part_8589939851,19,Consumable
part_8589983598,3,Consumable
part_8590011647,2,Consumable
part_8590044251,3,Consumable
part_8589984517,2,Consumable
part_8589941271,30,Part
part_8590072945,1,Consumable
part_8590016952,3,Consumable
part_8590075767,2,Consumable
part_8589937192,119,Consumable
part_8589963450,3,Part
part_8590087073,1,Part
part_8589993902,1,Part
part_8590258467,1,Part
part_8589941071,30,Consumable
part_8589935188,79,Consumable
part_8590252721,1,Part
part_8590087693,1,Part
part_8589964240,3,Part
part_8590146385,1,Part
part_8589935658,79,Consumable
part_8590088873,1,Part
part_8590017032,2,Consumable
part_8589991296,7,Consumable
part_8589947483,16,Consumable
part_8589966854,11,Consumable
part_8590000486,28,Consumable
part_8589952092,1,Consumable
part_8589935202,37,Consumable
part_8590181485,1,Part
part_8590031579,1,Consumable
part_8589963585,10,Part
part_8590259822,1,Part
part_8589950916,10,Part
part_8590164568,1,Consumable
part_8589940194,27,Part
part_8590084229,1,Part
part_8589989958,3,Part
part_8590108905,1,Consumable
part_8590255111,1,Part
part_8589938425,1,Part
part_8589957599,22,Consumable
part_8589941145,10,Consumable
part_8590124229,1,Part
part_8590068268,1,Consumable
part_8590024056,6,Part
part_8590050286,4,Part
part_8590124889,1,Part
part_8589982593,9,Part
part_8590248916,1,Part
part_8589939823,48,Part
part_8589944348,7,Part
part_8589943434,4,Part
part_8590066373,2,Part
part_8590247802,2,Consumable
part_8589948727,13,Part
part_8590026754,1,Part
part_8589942858,107,Consumable
part_8590191448,1,Consumable
part_8589936921,26,Consumable
